Country Name,Year,Indicator Name,Value
"Bahamas, The",2015,Trade in services (% of GDP),35.25514741
"Bahamas, The",2014,Trade in services (% of GDP),39.97290642
"Bahamas, The",2013,Trade in services (% of GDP),41.04422785
"Bahamas, The",2012,Trade in services (% of GDP),39.44851498
"Bahamas, The",2011,Trade in services (% of GDP),37.59539047
"Bahamas, The",2010,Trade in services (% of GDP),36.39816121
"Bahamas, The",2009,Trade in services (% of GDP),35.53330208
"Bahamas, The",2008,Trade in services (% of GDP),37.40097414
"Bahamas, The",2007,Trade in services (% of GDP),39.3557732
"Bahamas, The",2006,Trade in services (% of GDP),39.80378175
"Bahamas, The",2005,Trade in services (% of GDP),38.60548901
"Bahamas, The",2004,Trade in services (% of GDP),38.37955493
"Bahamas, The",2003,Trade in services (% of GDP),35.4796851
"Bahamas, The",2002,Trade in services (% of GDP),34.65697601
"Bahamas, The",2001,Trade in services (% of GDP),33.39332494
"Bahamas, The",2000,Trade in services (% of GDP),37.13132099
"Bahamas, The",1999,Trade in services (% of GDP),35.58363169
"Bahamas, The",1998,Trade in services (% of GDP),36.93573454
"Bahamas, The",1997,Trade in services (% of GDP),38.35694749
"Bahamas, The",1996,Trade in services (% of GDP),63.56331394
"Bahamas, The",1995,Trade in services (% of GDP),63.61621464
"Bahamas, The",1994,Trade in services (% of GDP),65.59680884
"Bahamas, The",1993,Trade in services (% of GDP),65.54786546
"Bahamas, The",1992,Trade in services (% of GDP),61.27693792
"Bahamas, The",1991,Trade in services (% of GDP),61.17011018
"Bahamas, The",1990,Trade in services (% of GDP),65.48010107
"Bahamas, The",1989,Trade in services (% of GDP),65.19595036
"Bahamas, The",1988,Trade in services (% of GDP),62.68497818
"Bahamas, The",1987,Trade in services (% of GDP),63.65143934
"Bahamas, The",1986,Trade in services (% of GDP),66.58847321
"Bahamas, The",1985,Trade in services (% of GDP),65.16568558
"Bahamas, The",1984,Trade in services (% of GDP),63.13752388
"Bahamas, The",1983,Trade in services (% of GDP),72.99746076
"Bahamas, The",1982,Trade in services (% of GDP),72.242286
"Bahamas, The",1981,Trade in services (% of GDP),76.978619
"Bahamas, The",1980,Trade in services (% of GDP),75.61596645
"Bahamas, The",2015,"Inflation, consumer prices (annual %)",1.861483029
"Bahamas, The",2014,"Inflation, consumer prices (annual %)",1.513756431
"Bahamas, The",2013,"Inflation, consumer prices (annual %)",0.7224147845
"Bahamas, The",2012,"Inflation, consumer prices (annual %)",1.97336756
"Bahamas, The",2011,"Inflation, consumer prices (annual %)",3.198781417
"Bahamas, The",2010,"Inflation, consumer prices (annual %)",1.344027384
"Bahamas, The",2009,"Inflation, consumer prices (annual %)",2.062734735
"Bahamas, The",2008,"Inflation, consumer prices (annual %)",4.489559954
"Bahamas, The",2007,"Inflation, consumer prices (annual %)",2.492577949
"Bahamas, The",2006,"Inflation, consumer prices (annual %)",2.389826274
"Bahamas, The",2005,"Inflation, consumer prices (annual %)",1.591606181
"Bahamas, The",2004,"Inflation, consumer prices (annual %)",0.9819140368
"Bahamas, The",2003,"Inflation, consumer prices (annual %)",3.025045263
"Bahamas, The",2002,"Inflation, consumer prices (annual %)",2.173577925
"Bahamas, The",2001,"Inflation, consumer prices (annual %)",2.044989775
"Bahamas, The",2000,"Inflation, consumer prices (annual %)",1.606329417
"Bahamas, The",1999,"Inflation, consumer prices (annual %)",1.25424826
"Bahamas, The",1998,"Inflation, consumer prices (annual %)",1.336613366
"Bahamas, The",1997,"Inflation, consumer prices (annual %)",0.5441503834
"Bahamas, The",1996,"Inflation, consumer prices (annual %)",1.379137412
"Bahamas, The",1995,"Inflation, consumer prices (annual %)",2.066994954
"Bahamas, The",1994,"Inflation, consumer prices (annual %)",1.399334237
"Bahamas, The",1993,"Inflation, consumer prices (annual %)",2.72289767
"Bahamas, The",1992,"Inflation, consumer prices (annual %)",5.738198862
"Bahamas, The",1991,"Inflation, consumer prices (annual %)",7.114681202
"Bahamas, The",1990,"Inflation, consumer prices (annual %)",4.66931912
"Bahamas, The",1989,"Inflation, consumer prices (annual %)",5.387658228
"Bahamas, The",1988,"Inflation, consumer prices (annual %)",4.402411828
"Bahamas, The",1987,"Inflation, consumer prices (annual %)",5.756464011
"Bahamas, The",1986,"Inflation, consumer prices (annual %)",5.433781544
"Bahamas, The",1985,"Inflation, consumer prices (annual %)",4.605009634
"Bahamas, The",1984,"Inflation, consumer prices (annual %)",3.966346154
"Bahamas, The",1983,"Inflation, consumer prices (annual %)",4
"Bahamas, The",1982,"Inflation, consumer prices (annual %)",6.012621017
"Bahamas, The",1981,"Inflation, consumer prices (annual %)",11.1144985
"Bahamas, The",1980,"Inflation, consumer prices (annual %)",12.09783723
