Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Bahamas, The",BHS,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.861483029
"Bahamas, The",BHS,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.513756431
"Bahamas, The",BHS,2013,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.7224147845
"Bahamas, The",BHS,2012,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.97336756
"Bahamas, The",BHS,2011,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.198781417
"Bahamas, The",BHS,2010,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.344027384
"Bahamas, The",BHS,2009,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.062734735
"Bahamas, The",BHS,2008,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.489559954
"Bahamas, The",BHS,2007,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.492577949
"Bahamas, The",BHS,2006,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.389826274
"Bahamas, The",BHS,2005,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.591606181
"Bahamas, The",BHS,2004,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.9819140368
"Bahamas, The",BHS,2003,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.025045263
"Bahamas, The",BHS,2002,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.173577925
"Bahamas, The",BHS,2001,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.044989775
"Bahamas, The",BHS,2000,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.606329417
"Bahamas, The",BHS,1999,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.25424826
"Bahamas, The",BHS,1998,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.336613366
"Bahamas, The",BHS,1997,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.5441503834
"Bahamas, The",BHS,1996,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.379137412
"Bahamas, The",BHS,1995,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.066994954
"Bahamas, The",BHS,1994,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.399334237
"Bahamas, The",BHS,1993,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.72289767
"Bahamas, The",BHS,1992,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.738198862
"Bahamas, The",BHS,1991,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.114681202
"Bahamas, The",BHS,1990,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.66931912
"Bahamas, The",BHS,1989,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.387658228
"Bahamas, The",BHS,1988,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.402411828
"Bahamas, The",BHS,1987,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.756464011
"Bahamas, The",BHS,1986,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.433781544
"Bahamas, The",BHS,1985,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.605009634
"Bahamas, The",BHS,1984,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.966346154
"Bahamas, The",BHS,1983,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4
"Bahamas, The",BHS,1982,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.012621017
"Bahamas, The",BHS,1981,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.1144985
"Bahamas, The",BHS,1980,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.09783723
